name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
"coast black gooseberry, spreading gooseberry",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,3,3,,Green-yellow,"Not showy, White, (pink-green)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5078D0A0>
black currant,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,2.0,2.0,,Yellow,"Showy, White, Green-yellow, Pink, Red, (petals may be reddish-green to brownish depending on cv.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50790100>
"flowering currant, winter currant",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate,3,2.0,,Yellow,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FED190>
gooseberry,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),,2.0,2.0,,Green-yellow,"Not showy, Green-yellow, (pink-green)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502C46A0>
castor bean,Fast,Full sun,,Zone 9: (-7 to -1 C),,2.0,1.0,"Purple, Dark-red, Green, Bronze, Brown, Nearly Black, Some varieties are dark reddish purple or bronze when young and the gradually turn dark green +/- a reddish tinge by maturity",,"Showy, Red, Pink, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503162E0>
black locust,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,15,10,"Green, Green-yellow",Yellow,"Showy, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A27250>
fingerleaf rodgersia,Fast,Part sun/part shade,Humus rich,Zone 5: (-29 to -23 C),Wetlands,2.0,1.0,,,"Showy, White, Pink, (creamy white to light pink)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503E1F10>
finger-leafed rodgersia,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),,1.3,1.0,,"Bronze, Dark-red","Showy, Yellow, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B76E80>
Dublin Bay rose,Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,3,3,"Dark-green, Red","Dark-green, Red","Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E06E20>
polyantha rose,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,1.3,1.0,,,"Showy, Pink, Orange, Yellow, Dark-red, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5028EAF0>
"Golden Wings rose, hybrid pimpinellifolia shrub rose",,Full sun,,Zone 4: (-34 to -29 C),,1.3,1.5,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C7A5B0>
Meidiland carpet rose,,Full sun,,Zone 3: (-40 to -34 C),,1.3,2.0,,,"Showy, White, Pink, Red, (Cultivars of these three flower colours were planted in th parking islands in the BCE area. It appears some were transplanted to the LCA and HPZ area.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C850D0>
"cut flower rose, miniature potted rose",Fast,Full sun,,Zone 5: (-29 to -23 C),Moderate,3,2.0,,,"Not showy, White, Yellow, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E6FC70>
"Ballerina rose, hybrid musk rose",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low,1.3,1.5,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F68070>
Bonica rose,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,1.3,1.5,"Green, Red",,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F2F040>
Jacqueline du Pre rose,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,2.0,1.5,,Yellow,"Showy, White, (Stamens pink, turning yellow.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF520723D0>
Nootka rose,Fast,"Full sun, Part sun/part shade","Humus rich, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),Low,3,3,,"Green, Green-yellow","Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507D39D0>
rugosa rose,Fast,Full sun,"Acidic, Rocky or gravelly or dry",Zone 2: (-46 to -40 C),Low,2.0,2.0,,Orange,"Showy, Pink, Red, White, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A7C370>
"native rose, Wood's rose",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,2.0,1.5,,Yellow,"Showy, Pink, (yellow stamens)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507F74F0>
Himalayan blackberry,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,5,7,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E8F2E0>
thornless blackberry,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate,2.0,4,,Green-yellow,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52014160>
raspberry,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low,2.0,1.5,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5008FE80>
evergreen blackberry,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,2.0,4,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5030B430>
thimbleberry,Moderate,"Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low,3,3,,"Green, Green-yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51DE0B80>
"Formosan Carpet rubus, creeping Taiwan bramble",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate,0.4,7,"Green, Dark-green",Green,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004C4F0>
salmonberry,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Low,2.0,2.0,,Yellow,Pink,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52042970>
boysenberry,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate,2.0,2.0,,Green-yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A6EA00>
black-eyed Susan,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Moderate,1.3,1.0,,Yellow,"Showy, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A5E160>
"black-eyed Susan, gloriosa daisy",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.0,,Yellow,"Showy, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502C0F10>
autumn sun coneflower,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,3,1.5,,Green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500A82E0>
"Green Wizard coneflower, western coneflower",Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,1.3,0.6,,Yellow,"Green, Black",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CA1520>
Mexican petunia,,"Full sun, Part sun/part shade",Humus rich,Zone 9: (-7 to -1 C),,,,,,"Showy, White, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C62B0>
"garden sorrel, sheep sorrel",Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.2,0.3,,Green,"Not showy, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004CD60>
curled dock,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),"Low, Moderate",1.3,0.6,,"Red, Yellow","Not showy, Red, (green then red-brown)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF519E2A90>
"bloody dock, red veined dock",Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate",0.4,0.3,"Dark-green, Red, red venation","Green, Red","Not showy, Red, (green then red-brown)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5065B100>
leatherleaf fern,,Filtered shade,,Zone 9: (-7 to -1 C),,1.3,1.5,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C8E040>
common rue,Moderate,Full sun,,Zone 4: (-34 to -29 C),"Low, Summer dry",1.3,1.0,"Bluish, Green, Silver / Grayish",,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5193DC40>
birdeye pearlwort,Moderate,"Filtered shade, Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.1,,,,"Not showy, White, Green, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C12F40>
"Irish moss, pearlwort (vs. Scotch moss, moss sandwort)",Slow,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low,0.1,0.3,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D3FC40>
"Wapato, arrowhead, duck potato",Fast,Full sun,Bog,Zone 5: (-29 to -23 C),High,1.3,1.0,,Yellow,"Showy, White, (yellow stamens)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E691C0>
African violet,Moderate,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Low,0.4,0.3,,Green,"Showy, White, Violet, Pink, Blue, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51D8AD90>
weeping willow,Fast,Full sun,Bog,Zone 6: (-23 to -18 C),High,7,15,"Green, Green-yellow, Light green in the Spring and Summer; light yellow in the Fall","Green-yellow, Yellow","Showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50794B20>
corkscrew willow,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),"Aquatic, High",15,10,,Green-yellow,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B5FE20>
weeping pussy willow,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),High,3,7,,Yellow,Silver,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50358D00>
"native willow, pussy willow",Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Wetlands",7,7,,Green-yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF5075C7F0>
grey-leaf willow,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),"High, Wetlands",5,5,,Green-yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B49A90>
Hooker's willow,Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Wetlands",7,7,,Green-yellow,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF51BD82B0>
"dappled willow, Japanese willow",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,2.0,3,"Green, Pink, Nearly White",Yellow,"Not showy, Red, Silver, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B20370>
Pacific willow,Fast,Full sun,,Zone 6: (-23 to -18 C),Wetlands,15,7,,Green-yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50374040>
"dwarf arctic willow, purple willow, purple osier",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,5,5,"Bluish, Green",,"Not showy, Green, Purple, Silver",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A838E0>
"Scouler's willow, mountain willow",Fast,Full sun,Bog,Zone 4: (-34 to -29 C),High,7,5,,,"Showy, White, Silver, (female - white; male - gray)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5039E610>
fantail willow,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Wetlands,5,7,,Yellow,"Showy, Yellow, Silver",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACE340>
blue anise sage,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate,1.3,1.0,,,"Showy, Blue, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ADA250>
pineapple sage,,Part sun/part shade,,Zone 8a: (-12 to -9.5 C),Moderate,0.7,0.3,,,"Showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064D2E0>
mealy-cup sage,Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate,1.3,0.6,,,"Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A2CB20>
autumn sage,Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),Low,0.7,1.0,,,"Showy, White, Pink, Red, Dark-red, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50074280>
variegated sage,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),"Low, Summer dry",0.7,1.0,,,"Showy, Violet, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503AAE80>
purple leaf sage,Fast,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 6: (-23 to -18 C),,0.7,1.0,"Dark-green, Purple","Dark-green, Purple","Showy, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B061F0>
common sage,,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate,1.3,1.0,,Green,"Showy, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51B5ED00>
rosemary,Slow,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry, Winter dry",1.3,1.5,,Dark-green,"Showy, White, Violet, Blue, Pink, Purple, (most are pale blue to almost white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064DC10>
scarlet sage,Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),Moderate,0.4,0.3,,,"Showy, Red, (Note: pink, purple, blue, and white flowering cvs. exist.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502B4760>
"elderberry, European elder",Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,3,3,"Dark-green, Purple, Nearly Black, Green-yellow, Bluish, Dark-red, 'Guincho Purple' has deep purple leaves",,"Showy, White, (S. 'Eva' has pink stamens.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502CBBB0>
coastal red elderberry,Moderate,Part sun/part shade,"Acidic, Bog",Zone 5: (-29 to -23 C),Moderate,5,3,,Red,"White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E6DE80>
bottlebrush,Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,1.3,1.0,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506A5A90>
"snake plant, mother-in-law's tongue",,,Well-drained,Zone 10: (-1 to 4 C),Low,1.3,0.6,"Green, Yellow, Transverse dark green stripes, yellow margins.",,"Showy, White, (greenish-white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50744820>
lavender cotton,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Summer dry, Winter dry",0.7,0.6,,Silver / Grayish,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503D4640>
creeping zinnia,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Moderate,0.4,0.6,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC1E80>
dwarf sweet box,Slow,"Deep shade, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Moderate,0.7,1.0,,Green,"Not showy, White, Pink, (Female flowers white or slightly pink; male flowers with pink anthers.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50750820>
"winter savory, mountain savory",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),,0.4,0.6,,,"Showy, White, Pink, Violet, (most commonly white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A2E520>
hybrid saxifrage,Fast,"Deep shade, Part sun/part shade",,Zone 6: (-23 to -18 C),,0.4,,,,"White, Pink, Yellow, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D37340>
mossy saxifrage,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,0.2,0.3,,,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F8340>
pyramidal saxifrage,Slow,Full sun,,Zone 4: (-34 to -29 C),,0.7,0.3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF52076A00>
"strawberry begonia , mother of thousands",,"Filtered shade, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,0.4,0.6,"Green, Red, Cream blotches; purple undersides.",,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5032E400>
dwarf pincushion flower,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low,0.7,0.6,,Green,"Showy, Blue, (cv. 'Butterfly Blue' is lavender blue)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CB5CD0>
fairy fan-flower,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,0.4,0.6,,Green,"Showy, White, Blue, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5197CA90>
umbrella plant,Moderate,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate,3,2.0,,Green,"Pink, Red, Green, (unlikely to flower indoors)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C66D0>
dwarf umbrella plant,Moderate,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate,1.3,1.5,,Green,"Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51C0D640>
false aralia,,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Moderate",2.0,1.5,,,Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519E3760>
"bluestem grass, little bluestem",Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low,1.3,0.6,"Green, Silver / Grayish","Pink, Purple, Orange, Bronze","Showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CA65E0>
Thanksgiving or Christmas cactus,,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Summer dry, Winter dry",0.4,0.3,,Dark-green,"White, Orange, Pink, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EDBD30>
Japanese umbrella pine,Slow,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,30,7,,Green,"Male Cone, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BAC040>
Peruvian squill,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Low,0.4,0.3,,,"Showy, White, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502EEDC0>
Siberian squill,Fast,Full sun,,Zone 2: (-46 to -40 C),,0.4,0.6,,Yellow,"Showy, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5030BE20>
woolgrass,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),High,2.0,1.0,"Green, Dark-green",Green,"Not showy, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004CA30>
"small-flowered bulrush, wood club rush",Fast,"Filtered shade, Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),High,2.0,1.0,"Green, Dark-green",Green,"Showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE0A90>
variegated figwort,Fast,Part sun/part shade,Humus rich,Zone 5: (-29 to -23 C),Wetlands,1.3,1.0,,,"Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EF6B20>
barbed skullcap,Fast,Full sun,"Bog, Humus rich",Zone 3: (-40 to -34 C),Moderate,0.4,0.6,,Yellow,"Showy, Purple, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50076A30>
purple autumn stonecrop,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Summer dry, Winter dry",0.4,0.6,,"Purple, Black","Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A16610>
starbright sedum,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Summer dry, Winter dry",0.4,0.6,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F3160>
Ruby Glow sedum,Moderate,Full sun,,Zone 5: (-29 to -23 C),,0.4,1.0,,,"Showy, Pink, (petals dark pink at tip and paleer at base; carpels bright pink)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A2FD90>
"golden carpet, mossy stonecrop",Moderate,Full sun,,Zone 4: (-34 to -29 C),,0.1,0.3,,,"Showy, Green-yellow, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE0E20>
"sedum, stonecrop",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),,0.4,0.3,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5195DCD0>
Bertram Anderson sedum,Moderate,Full sun,,Zone 5: (-29 to -23 C),,0.2,1.0,,Silver / Grayish,"Purple, Pink, (petals grey-purple)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE86A0>
gold stonecrop,,Full sun,Rocky or gravelly or dry,Zone 7: (-18 to -12 C),Low,0.2,0.3,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50317DC0>
Spanish stonecrop,,Full sun,Rocky or gravelly or dry,Zone 8a: (-12 to -9.5 C),Low,,,,,"Showy, Pink, (petals pink; stamens red-purple)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC4E50>
"orange stonecrop, Russian stonecrop",Slow,"Full sun, Part sun/part shade","Alkaline, Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),,0.2,0.3,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A2FC10>
stonecrop,Slow,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,0.1,0.3,,Green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A4B790>
burro's tail,,,Well-drained,Zone 10: (-1 to 4 C),Low,0.4,0.3,,,"Showy, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x970 at 0x7FBF5190D940>
Oregon stonecrop,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),Low,0.2,0.3,,Bronze,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A16EB0>
Sea Star stonecrop,,,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Low,0.1,0.3,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507900A0>
blue spruce stonecrop,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Summer dry",0.1,0.3,"Bluish, Green, Green-yellow, Yellow","Bluish, Green, Yellow, Orange, Red","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CCE370>
Angelina stonecrop,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry",0.2,0.6,,Green-yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E3D040>
six-sided stonecrop,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,0.2,0.3,"Green, Bronze, summer foliage is bronze, as opposed to its usual bright green colour",Green,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BE8D00>
spoon-leaved stonecrop,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry",0.2,0.3,,Silver / Grayish,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50743490>
