name,growth_rate,exposure,soil,hardiness,water
yellow flag iris,Fast,"Filtered shade, Full sun, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),"Aquatic, Moderate, Wetlands"
dwarf iris,,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
Siberian iris,Fast,"Full sun, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Aquatic, Moderate, Wetlands"
fiber optic grass ,Moderate,"Full sun, Part sun/part shade",Bog,Zone 8a: (-12 to -9.5 C),"Aquatic, Wetlands"
dusty miller,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),Low
winter jasmine,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
jasmine ,Fast,Full sun,,Zone 9: (-7 to -1 C),NA
black walnut ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
corkscrew rush ,Moderate,"Full sun, Part sun/part shade","Acidic, Bog, Rocky or gravelly or dry",Zone 7: (-18 to -12 C),"Aquatic, Wetlands"
"common rush, bog rush ",Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Moderate"
"dagger-leaved rush, swordleaf rush ",Fast,"Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 3: (-40 to -34 C),High
Hollywood juniper ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
common juniper ,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low
"creeping juniper, horizontal juniper ",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low
dwarf Japanese garden juniper ,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low
"tamarix juniper, savin juniper ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Summer dry
"Rocky Mountain juniper, Wichita Blue juniper, Tolleson's Blue Weeping juniper ",Slow,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate"
"squamata juniper, Blue Star juniper ",Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate
eastern red cedar,Slow,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate"
shrimp plant,,Full sun,,Zone 9: (-7 to -1 C),Moderate
kalanchoe,Slow,,Well-drained,Zone 10: (-1 to 4 C),Low
panda plant,,,Well-drained,Zone 10: (-1 to 4 C),Low
mountain laurel ,Moderate,Part sun/part shade,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
western bog laurel ,Slow,"Full sun, Part sun/part shade","Acidic, Bog",Zone 2: (-46 to -40 C),NA
Japanese kerria,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),"High, Moderate"
yellow waxbells ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
"string-of-pearls , rosary vine , string of beads ",,,Well-drained,Zone 10: (-1 to 4 C),Low
field scabious,Fast,Full sun,,Zone 3: (-40 to -34 C),"Low, Summer dry"
crimson scabious,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
red hot poker ,Moderate,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
glaucous hair grass ,Fast,,,Zone 6: (-23 to -18 C),NA
golden rain tree,,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
beautybush ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate"
golden chain tree,Moderate,Full sun,,Zone 6: (-23 to -18 C),NA
wall lettuce ,Fast,"Filtered shade, Full sun, Full sun only if soil kept moist, Part sun/part shade",Rocky or gravelly or dry,Zone 8b: (-9.4 to -7 C),NA
lettuce ,Fast,Full sun,,Zone 2: (-46 to -40 C),Moderate
gourd ,Fast,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate
"lamium, variegated yellow archangel ",Fast,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate"
"spotted deadnettle,  dead nettle ",Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
trailing ice plant,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),NA
lantana,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
European larch ,Fast,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate
Japanese larch ,,,,Zone 4: (-34 to -29 C),NA
"tamarack, eastern larch ",Moderate,Full sun,"Acidic, Bog, Humus rich, Well-drained",Zone 2: (-46 to -40 C),"Moderate, Wetlands"
western larch (seedling),Moderate,"Filtered shade, Full sun",,Zone 4: (-34 to -29 C),NA
"perennial pea, everlasting pea",Fast,Full sun,,Zone 3: (-40 to -34 C),NA
sweet pea ,Fast,,,Zone 2: (-46 to -40 C),NA
bay laurel ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),NA
English lavender ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry, Winter dry"
"French lavender, Spanish lavender ",Slow,Full sun,Well-drained,Zone 7: (-18 to -12 C),Low
common duckweed ,Fast,Full sun,Bog,Zone 4: (-34 to -29 C),"High, Wetlands"
brass buttons ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
purple bush clover ,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Low
Shasta daisy ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
oxeye daisy ,Fast,Full sun,,Zone 3: (-40 to -34 C),Low
coast leucothoe ,,Part sun/part shade,,Zone 6: (-23 to -18 C),NA
Rainbow leucothoe,Slow,"Deep shade, Filtered shade, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Moderate
"lovage, garden lovage ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
lewisia,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
Himalayan honeysuckle ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
"blazing star, liatris",,Full sun,,Zone 4: (-34 to -29 C),High
bigleaf goldenray ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),High
ligularia,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),Moderate
Amur privet ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
common privet ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
Asiatic hybrid lily ,,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
Oriental hybrid lily ,,Full sun,,Zone 3: (-40 to -34 C),NA
tiger lily ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
Easter lily ,,,Well-drained,Zone 7: (-18 to -12 C),Moderate
annual statice ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Summer dry
toadflax,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
twin flower ,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Low
blue flax ,,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),NA
American sweetgum ,Moderate,Full sun,Acidic,Zone 5: (-29 to -23 C),Moderate
Chinese tulip tree,Fast,Full sun,"Acidic, Well-drained",Zone 7: (-18 to -12 C),Low
"tulip tree, yellow poplar ",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
variegated tulip tree,Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"big blue lilyturf, monkey grass ",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),"Low, Moderate"
blue lithospermum,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Low
lobelia ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
cardinal flower ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
lobelia,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),High
"matted pratia, trailing pratia",Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
"sweet alyssum, alyssum ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
"annual ryegrass, Italian ryegrass ",Fast,,,Zone 5: (-29 to -23 C),NA
perennial ryegrass ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
scarlet trumpet honeysuckle ,Moderate,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate
Henry honeysuckle ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
"black twinberry, bearberry honeysuckle ",Fast,"Full sun, Part sun/part shade",Humus rich,Zone 6: (-23 to -18 C),"High, Moderate"
Japanese honeysuckle ,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),NA
boxleaf honeysuckle ,,Part sun/part shade,Well-drained,Zone 7: (-18 to -12 C),Moderate
privet honeysuckle ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"Emerald Mound shrub honeysuckle, fly honeysuckle ",Fast,Full sun,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
creeping gloxinia ,Fast,Full sun,Well-drained,Zone 11: (above 4 C),Moderate
asarina ,,Full sun,Well-drained,Zone 11: (above 4 C),NA
"parrot's beak, coral gem, pelican's beak , lotus vine ",Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),NA
"silver dollar plant, money plant",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
lupine ,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
snowy woodrush ,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
greater woodrush ,Fast,"Filtered shade, Part sun/part shade",Bog,Zone 5: (-29 to -23 C),NA
blue potato bush ,Fast,Full sun,Humus rich,Zone 7: (-18 to -12 C),Moderate
"yellow skunk cabbage , swamp lantern ",Fast,"Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 7: (-18 to -12 C),NA
gooseneck lysimachia,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
"creeping Jenny, moneywort ",Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
"circle flower, yellow loosestrife ",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
purple loosestrife ,Fast,"Full sun, Part sun/part shade","Acidic, Bog, Humus rich",Zone 4: (-34 to -29 C),High
plume poppy,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low
saucer magnolia ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
Caerhays Belle magnolia ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
Susan's magnolia ,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
Galaxy magnolia ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
Loebner magnolia ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
"lily tree, Yulan magnolia",,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),NA
southern magnolia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
northern Japanese magnolia,Slow,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
Oyama magnolia,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
star magnolia,Slow,"Full sun only if soil kept moist, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
charity mahonia ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
Oregon grape,Slow,"Full sun only if soil kept moist, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Moderate
longleaf mahonia,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"creeping mahonia, creeping barberry",Moderate,"Full sun, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Low
false lily-of-the valley,Moderate,"Filtered shade, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),"High, Moderate"
false Solomon's seal,Fast,Part sun/part shade,,Zone 3: (-40 to -34 C),NA
star-flowered false Solomon's seal,Fast,Part sun/part shade,,Zone 3: (-40 to -34 C),NA
Ginger Gold apple,,,,Zone 4: (-34 to -29 C),NA
Royal Raindrops crabapple,Moderate,Full sun,,Zone 4: (-34 to -29 C),NA
apple ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Japanese flowering crabapple ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
Pacific crabapple ,Moderate,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),"Low, Wetlands"
European crabapple  ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
common mallow ,Fast,Full sun,,Zone 7: (-18 to -12 C),NA
"shining mandevilla, pink mandevilla",Moderate,Full sun,,Zone 11: (above 4 C),NA
"Brazilian firecracker , candy corn vine ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate
"red-veined prayer plant, herringbone plant",Moderate,,Well-drained,Zone 11: (above 4 C),Moderate
"prayer plant, rabbit tracks ",Moderate,,"Acidic, Well-drained",Zone 11: (above 4 C),Moderate
"prayer plant, rabbit tracks",Moderate,,Well-drained,Zone 11: (above 4 C),Moderate
"thalloid liverwort, lung liverwort ",Moderate,"Deep shade, Filtered shade",,Zone 7: (-18 to -12 C),NA
Madagascar jasmine ,,"Full sun, Part sun/part shade",,Zone 11: (above 4 C),NA
pineapple weed ,,Full sun,,Zone 6: (-23 to -18 C),NA
ostrich fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Bog, Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Moderate, Wetlands"
stock ,,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
Himalayan blue poppy ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
black medic ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
meliosma,Moderate,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),NA
lemon balm ,Fast,"Full sun, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),Moderate
Chinese parasol,Slow,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
cucamelon ,,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
peppermint ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"water spearmint, Hart's pennyroyal",,Full sun,,Zone 4: (-34 to -29 C),Wetlands
spearmint ,Fast,Full sun,,Zone 3: (-40 to -34 C),NA
apple mint ,,Full sun,,Zone 6: (-23 to -18 C),NA
medlar,Moderate,"Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
dawn redwood ,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),"High, Moderate"
Siberian cypress ,Slow,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate
plush vine ,Moderate,,,Zone 10: (-1 to 4 C),Moderate
monkey flower,Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
giant silver grass ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
orange flame grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
variegated maiden grass,,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
maiden grass ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),High
dwarf maiden grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
porcupine grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
Goliath maiden grass,,,,Zone 4: (-34 to -29 C),NA
Little Kitten maiden grass,,,,Zone 4: (-34 to -29 C),NA
maiden grass,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
Positano maiden grass,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
silver feather maiden grass,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
tall moor grass,Fast,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
variegated moor grass,,Full sun,"Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
bee balm ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 3: (-40 to -34 C),Moderate
monopsis,Fast,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
"split-leaf philodendron, monster plant",Moderate,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate
weeping mulberry ,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"creeping wire vine, maidenhair vine, mattress vine ",,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
mukdenia,Slow,"Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
banana ,,"Full sun, Sheltered","Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),Moderate
grape hyacinth ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
garden forget-me-not,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
"California wax myrtle, Pacific wax myrtle ",Slow,Full sun,,Zone 7: (-18 to -12 C),NA
"bog myrtle, sweet gale",Fast,"Filtered shade, Full sun, Part sun/part shade",Acidic,Zone 2: (-46 to -40 C),Wetlands
heavenly bamboo ,Moderate,"Part sun/part shade, Sheltered",,Zone 7: (-18 to -12 C),"Low, Moderate"
daffodil ,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
double dwarf daffodil ,,,,Zone 5: (-29 to -23 C),NA
King Alfred daffodil ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
"Golden Bells daffodil, hoop-petticoat daffodil ",Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
"narrow feather grass, Mexican feather grass, angel hair grass ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Summer dry, Winter dry"
watercress,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
nemesia,Fast,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
blushing bromeliad ,,,Well-drained,Zone 10: (-1 to 4 C),Low
catmint ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry"
Boston fern ,,,,Zone 10: (-1 to 4 C),High
"oleander, rose bay ",Fast,Full sun,"Humus rich, Well-drained",Zone 8b: (-9.4 to -7 C),Summer dry
flowering tobacco ,Fast,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
southern beech ,Moderate,Full sun,"Acidic, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate"
yellow pond lily ,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),"Aquatic, High"
water lily ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),"Aquatic, Wetlands"
Chinese tupelo ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
black gum ,Moderate,"Full sun, Part sun/part shade, Sheltered","Acidic, Well-drained",Zone 5: (-29 to -23 C),NA
sweet basil ,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
"Oso berry, Indian plum ",Fast,"Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
evening primrose ,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
hardy olive ,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low
"Cappadocian navelwort, blue-eyed Mary ",,Filtered shade,,Zone 6: (-23 to -18 C),NA
sensitive fern ,Fast,"Filtered shade, Part sun/part shade, Sheltered",Humus rich,Zone 3: (-40 to -34 C),Moderate
black mondo grass ,,"Filtered shade, Full sun","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
devil's club ,Slow,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Bog",Zone 4: (-34 to -29 C),High
bunny ears cactus ,Moderate,,Rocky or gravelly or dry,Zone 11: (above 4 C),Low
ornamental oregano ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),"Moderate, Summer dry"
sweet marjoram ,Fast,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),Low
"hop-like oregano, round-leaved oregano ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
Greek oregano ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
golden oregano ,,Part sun/part shade,,Zone 3: (-40 to -34 C),NA
oregano ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
star-of-Bethlehem ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),NA
Chinese dunce cap ,Slow,Part sun/part shade,Well-drained,Zone 3: (-40 to -34 C),NA
Burkwood osmanthus ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
lance leaf osmanthus,,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
tea olive,Slow,Full sun,Alkaline,Zone 7: (-18 to -12 C),NA
variegated holly osmanthus,Slow,"Full sun, Part sun/part shade, Sheltered","Acidic, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate"
"variegated osmanthus, false holly",Moderate,Full sun only if soil kept moist,"Acidic, Well-drained",Zone 7: (-18 to -12 C),NA
cinnamon fern ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich, Well-drained",Zone 2: (-46 to -40 C),"Moderate, Wetlands"
royal fern ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Bog, Humus rich",Zone 3: (-40 to -34 C),Wetlands
"osteospermum, cape daisy ",Moderate,"Full sun, Sheltered",Well-drained,Zone 9: (-7 to -1 C),Moderate
"American hophornbeam, ironwood ",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Low
silver shamrock ,Moderate,"Deep shade, Filtered shade",Humus rich,Zone 5: (-29 to -23 C),Moderate
creeping oxalis,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate
redwood sorrel ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
false shamrock ,,"Deep shade, Filtered shade, Part sun/part shade",,Zone 8a: (-12 to -9.5 C),Low
"sorrel tree, sourwood ",Slow,"Full sun, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
money tree plant,Moderate,Part sun/part shade,"Humus rich, Well-drained",Zone 10: (-1 to 4 C),Moderate
Japanese spurge ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
"golden shrimp plant, lollipop plant",Moderate,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
"garden peony, Chinese peony  ",Fast,"Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
Tibetan tree peony ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
tree peony ,Moderate,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
switch grass ,Fast,Full sun,"Humus rich, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"Icelandic poppy, arctic poppy ",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Low
Oriental poppy ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"Persian parrotia, Persian ironwood",Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"Henryana parthenocissus, Chinese Virginia creeper",Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low
Virginia creeper ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
Boston ivy ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
"passion flower, passion vine ",Moderate,Full sun,,Zone 9: (-7 to -1 C),Moderate
princess tree,Fast,"Full sun, Part sun/part shade, Sheltered",Well-drained,Zone 5: (-29 to -23 C),NA
"Oregon boxwood, false box ",Moderate,"Filtered shade, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),NA
geranium ,,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Low
"zonal geranium, bedding geranium, hybrid geranium  ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"pelargonium, regal geranium ",,Full sun,,Zone 10: (-1 to 4 C),Moderate
"rose geranium, citronella geranium ",Fast,Full sun,,Zone 9: (-7 to -1 C),NA
ivy-leaf geranium ,,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Low
button fern ,,,,Zone 9: (-7 to -1 C),Low
arrow arum ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
dwarf fountain grass ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
black-flowered fountain grass ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),Low
fountain grass,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Low
purple ornamental millet ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),NA
